URL: /add/hero, Method: POST, Timestamp: Mon Apr 21 2025 22:36:20 GMT+0530 (India Standard Time)
URL: /api/heroes, Method: GET, Timestamp: Mon Apr 21 2025 22:40:18 GMT+0530 (India Standard Time)
URL: /heroes, Method: GET, Timestamp: Mon Apr 21 2025 22:40:18 GMT+0530 (India Standard Time)
URL: /api/update/villain/6, Method: PATCH, Timestamp: Mon Apr 21 2025 22:44:53 GMT+0530 (India Standard Time)
URL: /update/villain/6, Method: PATCH, Timestamp: Mon Apr 21 2025 22:44:53 GMT+0530 (India Standard Time)
URL: /api/update/villain/6, Method: PATCH, Timestamp: Mon Apr 21 2025 22:45:18 GMT+0530 (India Standard Time)
URL: /update/villain/6, Method: PATCH, Timestamp: Mon Apr 21 2025 22:45:18 GMT+0530 (India Standard Time)
URL: /api/update/villain/6, Method: PATCH, Timestamp: Mon Apr 21 2025 22:45:36 GMT+0530 (India Standard Time)
URL: /update/villain/6, Method: PATCH, Timestamp: Mon Apr 21 2025 22:45:36 GMT+0530 (India Standard Time)
URL: /api/update/villain/6, Method: PATCH, Timestamp: Mon Apr 21 2025 22:46:58 GMT+0530 (India Standard Time)
URL: /update/villain/6, Method: PATCH, Timestamp: Mon Apr 21 2025 22:46:58 GMT+0530 (India Standard Time)
URL: /api/update/villain/6, Method: PATCH, Timestamp: Mon Apr 21 2025 22:48:37 GMT+0530 (India Standard Time)
URL: /update/villain/6, Method: PATCH, Timestamp: Mon Apr 21 2025 22:48:37 GMT+0530 (India Standard Time)
URL: /api/update/villain/6, Method: PATCH, Timestamp: Mon Apr 21 2025 22:49:16 GMT+0530 (India Standard Time)
URL: /update/villain/6, Method: PATCH, Timestamp: Mon Apr 21 2025 22:49:16 GMT+0530 (India Standard Time)
URL: /api/delete/hero/5, Method: DELETE, Timestamp: Mon Apr 21 2025 22:50:10 GMT+0530 (India Standard Time)
URL: /delete/hero/5, Method: DELETE, Timestamp: Mon Apr 21 2025 22:50:10 GMT+0530 (India Standard Time)
URL: /api/delete/hero/5, Method: DELETE, Timestamp: Mon Apr 21 2025 22:52:35 GMT+0530 (India Standard Time)
URL: /delete/hero/5, Method: DELETE, Timestamp: Mon Apr 21 2025 22:52:35 GMT+0530 (India Standard Time)
URL: /api/delete/hero/5, Method: DELETE, Timestamp: Mon Apr 21 2025 22:53:17 GMT+0530 (India Standard Time)
URL: /delete/hero/5, Method: DELETE, Timestamp: Mon Apr 21 2025 22:53:17 GMT+0530 (India Standard Time)
